#Title PL_1_Sweep
#Graph Cartesian - Linear Scale
rotation	PL
-7.625000e+001	-8.957284e+001
-7.600000e+001	-8.881899e+001
-7.575000e+001	-8.821119e+001
-7.550000e+001	-8.774391e+001
-7.525000e+001	-8.740426e+001
-7.500000e+001	-8.718564e+001
-7.475000e+001	-8.707960e+001
-7.450000e+001	-8.708125e+001
-7.425000e+001	-8.718677e+001
-7.400000e+001	-8.739437e+001
-7.375000e+001	-8.770273e+001
-7.350000e+001	-8.811293e+001
-7.325000e+001	-8.862556e+001
-7.300000e+001	-8.924258e+001
-7.275000e+001	-8.996069e+001
-7.250000e+001	-9.077916e+001
-7.225000e+001	-9.168147e+001
-7.200000e+001	-9.263797e+001
-7.175000e+001	-9.358350e+001
-7.150000e+001	-9.441296e+001
-7.125000e+001	-9.498027e+001
-7.100000e+001	-9.516470e+001
-7.075000e+001	-9.494287e+001
-7.050000e+001	-9.441469e+001
-7.025000e+001	-9.372342e+001
-7.000000e+001	-9.298989e+001
-6.975000e+001	-9.229124e+001
-6.950000e+001	-9.166555e+001
-6.925000e+001	-9.112986e+001
-6.900000e+001	-9.068905e+001
-6.875000e+001	-9.034430e+001
-6.850000e+001	-9.009260e+001
-6.825000e+001	-8.993075e+001
-6.800000e+001	-8.985561e+001
-6.775000e+001	-8.986437e+001
-6.750000e+001	-8.995442e+001
-6.725000e+001	-9.012377e+001
-6.700000e+001	-9.037090e+001
-6.675000e+001	-9.069332e+001
-6.650000e+001	-9.108868e+001
-6.625000e+001	-9.155243e+001
-6.600000e+001	-9.207955e+001
-6.575000e+001	-9.265768e+001
-6.550000e+001	-9.327024e+001
-6.525000e+001	-9.389017e+001
-6.500000e+001	-9.447737e+001
-6.475000e+001	-9.498191e+001
-6.450000e+001	-9.534824e+001
-6.425000e+001	-9.553124e+001
-6.400000e+001	-9.551304e+001
-6.375000e+001	-9.531185e+001
-6.350000e+001	-9.497163e+001
-6.325000e+001	-9.436995e+001
-6.300000e+001	-9.393967e+001
-6.275000e+001	-9.354697e+001
-6.250000e+001	-9.320276e+001
-6.225000e+001	-9.290319e+001
-6.200000e+001	-9.263364e+001
-6.175000e+001	-9.238183e+001
-6.150000e+001	-9.214128e+001
-6.125000e+001	-9.192147e+001
-6.100000e+001	-9.174219e+001
-6.075000e+001	-9.163046e+001
-6.050000e+001	-9.161016e+001
-6.025000e+001	-9.169615e+001
-6.000000e+001	-9.188881e+001
-5.975000e+001	-9.217209e+001
-5.950000e+001	-9.251345e+001
-5.925000e+001	-9.287116e+001
-5.900000e+001	-9.320486e+001
-5.875000e+001	-9.349294e+001
-5.850000e+001	-9.373922e+001
-5.825000e+001	-9.397008e+001
-5.800000e+001	-9.421896e+001
-5.775000e+001	-9.450858e+001
-5.750000e+001	-9.484317e+001
-5.725000e+001	-9.520103e+001
-5.700000e+001	-9.553613e+001
-5.675000e+001	-9.578219e+001
-5.650000e+001	-9.586957e+001
-5.625000e+001	-9.575562e+001
-5.600000e+001	-9.545317e+001
-5.575000e+001	-9.503069e+001
-5.550000e+001	-9.458425e+001
-5.525000e+001	-9.420134e+001
-5.500000e+001	-9.393774e+001
-5.475000e+001	-9.380607e+001
-5.450000e+001	-9.377491e+001
-5.425000e+001	-9.377104e+001
-5.400000e+001	-9.370608e+001
-5.375000e+001	-9.352334e+001
-5.350000e+001	-9.324127e+001
-5.325000e+001	-9.294493e+001
-5.300000e+001	-9.273570e+001
-5.275000e+001	-9.268674e+001
-5.250000e+001	-9.281991e+001
-5.225000e+001	-9.309725e+001
-5.200000e+001	-9.342142e+001
-5.175000e+001	-9.366330e+001
-5.150000e+001	-9.373443e+001
-5.125000e+001	-9.365722e+001
-5.100000e+001	-9.354901e+001
-5.075000e+001	-9.354362e+001
-5.050000e+001	-9.372714e+001
-5.025000e+001	-9.411236e+001
-5.000000e+001	-9.462812e+001
-4.975000e+001	-9.511628e+001
-4.950000e+001	-9.538395e+001
-4.925000e+001	-9.534057e+001
-4.900000e+001	-9.508279e+001
-4.875000e+001	-9.481020e+001
-4.850000e+001	-9.468938e+001
-4.825000e+001	-9.479760e+001
-4.800000e+001	-9.511131e+001
-4.775000e+001	-9.549141e+001
-4.750000e+001	-9.569769e+001
-4.725000e+001	-9.552938e+001
-4.700000e+001	-9.503144e+001
-4.675000e+001	-9.445780e+001
-4.650000e+001	-9.405614e+001
-4.625000e+001	-9.395510e+001
-4.600000e+001	-9.415059e+001
-4.575000e+001	-9.449556e+001
-4.550000e+001	-9.470498e+001
-4.525000e+001	-9.452791e+001
-4.500000e+001	-9.401410e+001
-4.475000e+001	-9.346720e+001
-4.450000e+001	-9.316261e+001
-4.425000e+001	-9.322236e+001
-4.400000e+001	-9.360526e+001
-4.375000e+001	-9.408708e+001
-4.350000e+001	-9.430067e+001
-4.325000e+001	-9.403787e+001
-4.300000e+001	-9.351110e+001
-4.275000e+001	-9.310442e+001
-4.250000e+001	-9.306472e+001
-4.225000e+001	-9.344378e+001
-4.200000e+001	-9.408631e+001
-4.175000e+001	-9.459863e+001
-4.150000e+001	-9.456368e+001
-4.125000e+001	-9.404692e+001
-4.100000e+001	-9.351554e+001
-4.075000e+001	-9.334392e+001
-4.050000e+001	-9.366306e+001
-4.025000e+001	-9.437377e+001
-4.000000e+001	-9.507653e+001
-3.975000e+001	-9.518419e+001
-3.950000e+001	-9.460373e+001
-3.925000e+001	-9.389240e+001
-3.900000e+001	-9.355106e+001
-3.875000e+001	-9.377215e+001
-3.850000e+001	-9.448459e+001
